,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABT LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABT BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,,,6.55,,6.53,6.55,,,,,6.03,6.03,6.55,,,6.55,,,6.55,,6.55,,6.55,6.55,6.55,,,,,6.53,6.53,6.55,6.55,,,6.55,6.55,,6.55,6.55,,,6.55,,6.52,6.39,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.50,6.54
Bistec de Cinta *,1 Kilogramos,5.62,4.74,,5.62,5.62,5.19,,5.62,5.60,5.39,5.62,5.62,,5.62,4.81,,5.62,5.19,5.20,5.62,5.19,5.62,4.74,5.19,5.62,5.48,5.50,5.62,5.62,5.19,5.19,5.19,,5.17,5.17,5.59,5.59,5.19,5.59,5.60,,5.58,5.59,5.59,5.62,5.19,5.19,,5.17,5.45,5.56,,,,,,,,,,,,,,,,,,,,,5.62,,5.62,5.62,5.62,,,,,,,,,,,4.96,5.49,5.62
Carne Molida de Primera *,1 Kilogramos,,4.74,4.74,4.74,4.74,4.74,4.74,4.74,,4.74,,4.74,,4.74,,,4.74,4.74,4.74,,4.74,4.74,4.74,4.74,4.74,4.73,,,4.74,4.74,4.74,4.74,,4.14,,,,4.74,4.73,4.74,,4.73,,4.74,4.74,4.74,4.74,4.74,,,,,,,,4.74,,,,,,,,,,,4.74,,,,,,,,,4.74,,,,,,,,,4.74,,4.39,4.74,4.41
Carne para Sopa (Costilla) *,1 Kilogramos,6.93,,6.16,6.16,,4.45,4.45,,3.97,4.55,4.85,3.99,4.45,4.45,4.43,4.43,,4.45,4.45,,,6.93,,4.45,4.45,4.83,4.85,,,4.45,4.45,,4.83,4.43,4.81,,,,,,,,,,6.28,,,,,,,,,,,,,,,,4.41,,,,,,,,,,,,,4.96,,4.96,,,,,,,,,,,,,
Puerco Liso *,1 Kilogramos,7.80,,15.48,15.48,5.51,5.99,5.99,5.99,5.49,5.95,5.95,5.99,5.99,5.49,5.49,5.49,,4.96,5.99,,5.85,7.80,5.51,5.99,5.99,5.62,5.95,,5.51,,5.99,5.99,5.49,5.45,5.60,5.52,5.52,,5.47,5.51,5.49,5.89,5.95,,,5.99,5.99,5.99,5.93,,,,,,,7.17,,,7.72,,,6.61,,,7.72,7.17,6.61,,,,,7.17,6.06,7.72,7.17,6.28,,,,,,,6.50,,,,5.93,5.49,
Pulpa Negra *,1 Kilogramos,8.89,8.05,13.87,13.87,8.05,7.69,7.69,7.69,7.66,7.95,7.95,7.69,7.69,7.69,6.97,6.97,8.05,7.69,7.69,8.05,7.69,8.89,8.05,7.69,7.69,7.49,7.95,8.05,8.05,7.69,7.69,7.69,7.67,7.62,6.93,7.75,7.75,7.69,7.64,8.05,7.69,7.39,7.75,7.95,8.05,7.69,7.69,7.69,7.67,7.22,7.37,,,,,8.49,,,8.82,,8.82,8.71,,,8.60,8.38,8.71,8.27,,7.72,,6.94,7.72,8.71,8.27,8.36,,,,8.16,8.05,,,,8.27,,6.94,7.25,8.26
Muslo de Pollo con Piel *,1 Kilogramos,4.53,,4.38,4.38,,3.99,3.99,3.99,3.97,3.95,3.95,3.99,3.99,3.99,3.47,3.47,4.18,3.99,3.99,4.18,,4.80,4.18,3.99,3.99,3.88,3.89,4.18,4.18,3.99,3.99,3.99,3.97,3.93,3.86,3.79,3.79,3.99,3.95,4.15,3.99,3.91,3.95,3.95,4.18,3.99,,3.99,3.93,3.85,3.93,,,,,3.97,,,,,3.86,,,,,,2.98,,,,,,,3.86,3.31,,,,,,,,4.41,,,3.86,3.95,3.51,
Pechuga de Pollo con Piel *,1 Kilogramos,4.11,,4.25,4.25,3.42,2.99,2.99,2.99,2.97,,2.98,3.25,2.99,2.99,2.95,2.95,4.55,2.99,2.99,3.42,2.99,3.68,4.55,2.99,2.99,,2.89,3.42,3.42,2.99,2.99,2.99,2.97,2.97,2.82,2.97,2.97,2.99,2.99,4.55,2.99,2.94,2.95,2.95,4.55,2.99,2.99,2.99,2.93,2.36,,,,,,3.86,,,4.08,,3.31,,,,,,2.98,,,,,4.08,,4.08,3.31,,,,,,3.20,,3.86,3.86,3.31,2.98,2.84,2.84,
Pollo Entero s/plumas *,1 Kilogramos,3.17,2.60,2.85,2.85,2.55,2.60,2.60,2.60,2.51,2.49,2.58,2.60,2.60,2.60,1.97,1.97,2.53,1.99,2.60,2.54,2.60,3.17,2.60,2.60,2.60,2.55,2.49,2.55,2.55,2.60,2.60,2.59,2.53,2.57,2.47,2.49,2.49,2.60,2.59,2.53,2.60,2.59,1.99,1.96,2.53,2.60,2.60,2.60,2.51,2.14,2.51,,,,,2.60,,,2.60,,2.60,,,,,2.60,2.54,2.60,,,2.60,2.60,2.60,2.60,2.31,2.16,,,,2.31,2.60,,2.43,,2.43,2.43,2.09,2.18,
Pescado Corvina *,1 Kilogramos,,,10.30,10.30,,,,,,,6.20,,,,,6.61,,,,,,,9.37,,,5.99,,,,,,,,,,,,,,,,5.99,,6.95,,,,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
